,customer_id,product_id,ppu,order_count,special_price,update_option
472,52,418,4.5,0,TRUE,MANUAL
473,52,497,4.5,0,TRUE,MANUAL
474,52,512,3.85,0,TRUE,MANUAL
475,52,522,3.65,0,TRUE,MANUAL
476,52,529,3.95,0,TRUE,MANUAL
477,52,534,3.95,0,TRUE,MANUAL
478,52,539,3.4,0,TRUE,MANUAL
479,52,553,5.65,0,TRUE,MANUAL
480,52,568,21.5,0,TRUE,MANUAL
481,52,571,21.5,0,TRUE,MANUAL
482,52,591,13.65,0,TRUE,MANUAL
483,52,664,4.95,0,TRUE,MANUAL
484,52,670,6.9,0,TRUE,MANUAL
485,53,23,3.45,0,TRUE,MANUAL
486,53,25,3.75,0,TRUE,MANUAL
487,53,64,2.85,0,TRUE,MANUAL
488,53,68,6.45,0,TRUE,MANUAL
489,53,73,6.2,0,TRUE,MANUAL
490,53,98,5.5,0,TRUE,MANUAL
491,53,100,58.0,0,TRUE,MANUAL
492,53,111,4.99,0,TRUE,MANUAL
493,53,113,5.6,0,TRUE,MANUAL
494,53,138,2.2,0,TRUE,MANUAL
495,53,148,1.45,0,TRUE,MANUAL
496,53,159,1.38,0,TRUE,MANUAL
497,53,168,2.25,0,TRUE,MANUAL
498,53,241,6.2,0,TRUE,MANUAL
499,53,249,5.25,0,TRUE,MANUAL
500,53,254,10.95,0,TRUE,MANUAL
501,53,284,2.0,0,TRUE,MANUAL
502,53,297,4.4,0,TRUE,MANUAL
503,53,355,9.9,0,TRUE,MANUAL
504,53,376,8.2,0,TRUE,MANUAL
505,53,386,9.95,0,TRUE,MANUAL
506,53,389,5.8,0,TRUE,MANUAL
507,53,397,9.9,0,TRUE,MANUAL
508,53,418,4.1,0,TRUE,MANUAL
509,53,497,3.95,0,TRUE,MANUAL
510,53,507,4.45,0,TRUE,MANUAL
511,53,512,3.85,0,TRUE,MANUAL
512,53,522,3.65,0,TRUE,MANUAL
513,53,529,3.95,0,TRUE,MANUAL
514,53,534,3.95,0,TRUE,MANUAL
515,53,539,3.4,0,TRUE,MANUAL
516,53,541,4.9,0,TRUE,MANUAL
517,53,553,5.65,0,TRUE,MANUAL
518,53,571,19.5,0,TRUE,MANUAL
519,53,587,9.95,0,TRUE,MANUAL
520,53,591,13.65,0,TRUE,MANUAL
521,53,620,16.5,0,TRUE,MANUAL
522,53,637,16.0,0,TRUE,MANUAL
523,53,652,7.25,0,TRUE,MANUAL
524,53,664,4.95,0,TRUE,MANUAL
525,53,670,5.9,0,TRUE,MANUAL
526,53,678,6.9,0,TRUE,MANUAL
527,54,111,4.99,0,TRUE,MANUAL
528,54,267,24.95,0,TRUE,MANUAL
529,54,389,8.4,0,TRUE,MANUAL
530,54,553,6.2,0,TRUE,MANUAL
531,54,566,6.5,0,TRUE,MANUAL
532,54,568,24.5,0,TRUE,MANUAL
533,54,571,21.5,0,TRUE,MANUAL
534,54,707,10.65,0,TRUE,MANUAL
535,55,25,3.65,0,TRUE,MANUAL
536,55,73,6.9,0,TRUE,MANUAL
537,55,111,4.99,0,TRUE,MANUAL
538,55,241,6.2,0,TRUE,MANUAL
539,55,274,28.5,0,TRUE,MANUAL
540,55,297,4.7,0,TRUE,MANUAL
541,55,314,5.4,0,TRUE,MANUAL
542,55,349,4.7,0,TRUE,MANUAL
543,55,364,8.8,0,TRUE,MANUAL
544,55,376,8.0,0,TRUE,MANUAL
545,55,390,7.9,0,TRUE,MANUAL
546,55,418,4.6,0,TRUE,MANUAL
547,55,502,3.95,0,TRUE,MANUAL
548,55,529,3.85,0,TRUE,MANUAL
549,55,534,4.25,0,TRUE,MANUAL
550,55,544,3.5,0,TRUE,MANUAL
551,55,620,16.4,0,TRUE,MANUAL
552,56,23,3.58,0,TRUE,MANUAL
553,56,127,0.9,0,TRUE,MANUAL
554,56,145,1.35,0,TRUE,MANUAL
555,56,314,5.9,0,TRUE,MANUAL
556,56,456,11.25,0,TRUE,MANUAL
557,56,491,1.3,0,TRUE,MANUAL
558,56,496,10.9,0,TRUE,MANUAL
559,56,522,2.99,0,TRUE,MANUAL
560,56,532,3.85,0,TRUE,MANUAL
561,56,625,6.5,0,TRUE,MANUAL
562,56,664,5.1,0,TRUE,MANUAL
563,56,677,4.65,0,TRUE,MANUAL
564,57,20,0.6,0,TRUE,MANUAL
565,57,402,1.5,0,TRUE,MANUAL
566,58,482,4.65,0,TRUE,MANUAL
567,60,111,4.95,0,TRUE,MANUAL
568,61,113,5.6,0,TRUE,MANUAL
569,61,126,1.25,0,TRUE,MANUAL
570,61,159,1.65,0,TRUE,MANUAL
571,61,164,4.4,0,TRUE,MANUAL
572,61,293,4.8,0,TRUE,MANUAL
573,61,353,9.95,0,TRUE,MANUAL
574,61,367,9.6,0,TRUE,MANUAL
575,61,385,11.5,0,TRUE,MANUAL
576,61,664,6.9,0,TRUE,MANUAL
577,61,670,6.8,0,TRUE,MANUAL
578,64,126,1.5,0,TRUE,MANUAL
579,64,127,1.08,0,TRUE,MANUAL
580,64,361,8.4,0,TRUE,MANUAL
581,64,363,8.8,0,TRUE,MANUAL
582,64,521,3.65,0,TRUE,MANUAL
583,64,522,3.65,0,TRUE,MANUAL
584,64,623,6.95,0,TRUE,MANUAL
585,64,637,17.6,0,TRUE,MANUAL
586,65,23,3.45,0,TRUE,MANUAL
587,65,111,4.99,0,TRUE,MANUAL
588,65,664,4.99,0,TRUE,MANUAL
589,66,23,3.78,0,TRUE,MANUAL
590,66,25,3.98,0,TRUE,MANUAL
591,66,73,6.7,0,TRUE,MANUAL
592,66,111,4.99,0,TRUE,MANUAL
593,66,159,1.45,0,TRUE,MANUAL
594,66,198,4.45,0,TRUE,MANUAL
595,66,241,6.3,0,TRUE,MANUAL
596,66,364,9.4,0,TRUE,MANUAL
597,66,418,4.7,0,TRUE,MANUAL
598,66,496,14.45,0,TRUE,MANUAL
599,66,529,4.45,0,TRUE,MANUAL
600,66,571,21.5,0,TRUE,MANUAL
601,66,620,17.4,0,TRUE,MANUAL
602,66,625,7.0,0,TRUE,MANUAL
